DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2013-14,190,26,39,39,21,16,26,23,0,0,0,0,0,0,0,93,48.9,97,51.1,9,4.7,72,37.9,104,54.7,2,1.1,3,1.6,65,34.2,19,10,171,90,No Data
01M019,P.S. 019 Asher Levy,2013-14,285,36,39,38,36,45,47,44,0,0,0,0,0,0,0,141,49.5,144,50.5,41,14.4,56,19.6,148,51.9,10,3.5,30,10.5,89,31.2,25,8.8,213,74.7,No Data
01M020,P.S. 020 Anna Silver,2013-14,631,54,114,111,98,109,71,74,0,0,0,0,0,0,0,305,48.3,326,51.7,223,35.3,54,8.6,314,49.8,16,2.5,24,3.8,144,22.8,104,16.5,448,71,No Data
01M034,P.S. 034 Franklin D. Roosevelt,2013-14,393,18,33,32,35,34,45,43,43,57,53,0,0,0,0,196,49.9,197,50.1,26,6.6,108,27.5,246,62.6,1,0.3,12,3.1,129,32.8,25,6.4,373,94.9,No Data
01M063,The STAR Academy - P.S.63,2013-14,179,18,40,33,26,23,20,19,0,0,0,0,0,0,0,93,52,86,48,13,7.3,45,25.1,101,56.4,3,1.7,17,9.5,59,33,8,4.5,145,81,No Data
01M064,P.S. 064 Robert Simon,2013-14,287,33,39,40,46,48,38,43,0,0,0,0,0,0,0,124,43.2,163,56.8,17,5.9,65,22.6,173,60.3,5,1.7,27,9.4,99,34.5,19,6.6,259,90.2,No Data
01M110,P.S. 110 Florence Nightingale,2013-14,416,36,63,85,56,74,56,46,0,0,0,0,0,0,0,201,48.3,215,51.7,57,13.7,40,9.6,183,44,20,4.8,116,27.9,70,16.8,20,4.8,221,53.1,No Data
01M134,P.S. 134 Henrietta Szold,2013-14,318,33,41,38,53,46,49,58,0,0,0,0,0,0,0,152,47.8,166,52.2,84,26.4,63,19.8,162,50.9,0,0,9,2.8,89,28,47,14.8,294,92.5,No Data
01M140,P.S. 140 Nathan Straus,2013-14,393,12,30,31,31,34,34,28,61,63,69,0,0,0,0,194,49.4,199,50.6,22,5.6,50,12.7,310,78.9,1,0.3,10,2.5,137,34.9,55,14,314,79.9,No Data
01M142,P.S. 142 Amalia Castro,2013-14,384,31,69,48,61,53,63,59,0,0,0,0,0,0,0,174,45.3,210,54.7,24,6.3,53,13.8,285,74.2,15,3.9,7,1.8,119,31,32,8.3,375,97.7,No Data
01M184,P.S. 184m Shuang Wen,2013-14,668,36,88,78,75,79,83,67,40,61,61,0,0,0,0,336,50.3,332,49.7,523,78.3,20,3,54,8.1,16,2.4,55,8.2,76,11.4,91,13.6,474,71,No Data
01M188,P.S. 188 The Island School,2013-14,501,32,48,41,47,49,51,45,49,73,66,0,0,0,0,232,46.3,269,53.7,12,2.4,140,27.9,327,65.3,1,0.2,21,4.2,141,28.1,76,15.2,437,87.2,No Data
01M292,Orchard Collegiate Academy,2013-14,323,0,0,0,0,0,0,0,13,19,33,59,68,68,63,129,39.9,194,60.1,44,13.6,84,26,172,53.3,13,4,10,3.1,107,33.1,64,19.8,271,83.9,No Data
01M301,"Technology, Arts, and Sciences Studio",2013-14,158,0,0,0,0,0,0,0,46,51,61,0,0,0,0,63,39.9,95,60.1,16,10.1,39,24.7,94,59.5,4,2.5,5,3.2,57,36.1,9,5.7,144,91.1,No Data
01M315,The East Village Community School,2013-14,276,36,45,47,41,38,46,23,0,0,0,0,0,0,0,119,43.1,157,56.9,22,8,33,12,67,24.3,18,6.5,136,49.3,79,28.6,2,0.7,89,32.2,No Data
01M332,University Neighborhood Middle School,2013-14,100,0,0,0,0,0,0,0,22,33,45,0,0,0,0,46,46,54,54,5,5,17,17,75,75,3,3,0,0,28,28,24,24,94,94,No Data
01M361,The Children's Workshop School,2013-14,258,36,40,33,29,38,36,46,0,0,0,0,0,0,0,136,52.7,122,47.3,37,14.3,31,12,84,32.6,4,1.6,102,39.5,66,25.6,11,4.3,124,48.1,No Data
01M363,Neighborhood School,2013-14,300,18,38,44,39,51,57,53,0,0,0,0,0,0,0,142,47.3,158,52.7,29,9.7,43,14.3,92,30.7,6,2,130,43.3,84,28,10,3.3,134,44.7,No Data
01M364,Earth School,2013-14,318,18,54,50,46,51,50,49,0,0,0,0,0,0,0,157,49.4,161,50.6,32,10.1,36,11.3,101,31.8,26,8.2,123,38.7,62,19.5,12,3.8,132,41.5,No Data
01M378,School for Global Leaders,2013-14,244,0,0,0,0,0,0,0,79,72,93,0,0,0,0,112,45.9,132,54.1,32,13.1,51,20.9,152,62.3,5,2,4,1.6,68,27.9,39,16,174,71.3,No Data
