DBN,District,School Name,Is Org Split-Sited,Building ID(s),Transfer School,Total Enrollment,Grades 3K-PK-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% SWD,% ELL,% Poverty,2018-19 ELA # Tested,2018-19 ELA # Proficient (L3&4),2018-19 ELA % Proficient (L3&4),2018-19 Math # Tested,2018-19 Math # Proficient (L3&4),2018-19 Math % Proficient (L3&4),2018-19 Total 4-year August Grad Cohort,2018-19 % 4-year August Graduates,2018-19 Total 6-year Grad Cohort,2018-19 % 6-year Graduates
01M015,1,P.S. 015 Roberto Clemente,false,M015,false,190,190,0,0,0.142,0.295,0.505,0.011,0.047,0.232,0.089,0.816,70,42,60.0%,70,46,65.7%,,,,
01M063,1,The STAR Academy - P.S.63,false,M063,false,229,229,0,0,0.039,0.17,0.686,0.031,0.074,0.301,0.022,0.773,79,35,44.3%,78,25,32.1%,,,,
01M064,1,P.S. 064 Robert Simon,false,M064,false,236,236,0,0,0.03,0.169,0.737,0.021,0.042,0.267,0.017,0.907,81,40,49.4%,81,35,43.2%,,,,
01M142,1,P.S. 142 Amalia Castro,false,M142,false,329,329,0,0,0.012,0.164,0.769,0.03,0.024,0.331,0.067,0.964,104,44,42.3%,98,37,37.8%,,,,
01M188,1,P.S. 188 The Island School,false,M188,false,398,238,160,0,0.028,0.314,0.628,0.008,0.023,0.339,0.098,0.955,269,67,24.9%,219,69,31.5%,,,,
01M292,1,Orchard Collegiate Academy,false,M056,false,226,0,0,226,0.119,0.257,0.562,0.035,0.027,0.288,0.093,0.832,,,,,,,28,89.3%,36,75.0%
01M315,1,The East Village Community School,false,M061,false,330,330,0,0,0.097,0.045,0.23,0.058,0.57,0.173,0.009,0.282,112,69,61.6%,111,74,66.7%,,,,
01M332,1,University Neighborhood Middle School,false,M056,false,218,0,218,0,0.073,0.197,0.628,0.009,0.092,0.413,0.05,0.83,175,55,31.4%,173,22,12.7%,,,,
01M361,1,The Children's Workshop School,false,M061,false,336,336,0,0,0.098,0.104,0.387,0.065,0.345,0.247,0.039,0.47,95,55,57.9%,95,46,48.4%,,,,
01M363,1,Neighborhood School,false,M063,false,306,306,0,0,0.069,0.101,0.346,0.085,0.399,0.219,0.013,0.408,27,10,37.0%,27,9,33.3%,,,,
01M364,1,Earth School,false,M064,false,344,344,0,0,0.052,0.116,0.395,0.09,0.346,0.279,0.035,0.57,32,7,21.9%,28,5,17.9%,,,,
01M378,1,School for Global Leaders,false,M025,false,204,0,204,0,0.083,0.245,0.593,0.029,0.049,0.407,0.083,0.843,198,64,32.3%,209,73,34.9%,,,,
01M450,1,East Side Community School,false,M060,false,680,0,316,364,0.097,0.153,0.549,0.019,0.182,0.266,0.015,0.654,248,156,62.9%,243,144,59.3%,93,90.3%,88,95.5%
01M458,1,Forsyth Satellite Academy,false,M510,true,181,0,0,181,0.028,0.403,0.519,0.011,0.039,0.359,0.072,0.873,,,,,,,79,25.3%,117,44.4%
01M509,1,Marta Valle High School,false,M025,false,97,0,0,97,0.103,0.258,0.598,0.031,0.01,0.258,0.093,0.887,,,,,,,38,86.8%,54,79.6%
01M515,1,Lower East Side Preparatory High School,false,M025,true,531,0,0,531,0.437,0.117,0.424,0.002,0.021,0.102,0.704,0.748,,,,,,,241,45.6%,247,45.7%
01M650,1,Cascades High School,false,M510,true,168,0,0,168,0.018,0.44,0.53,0.006,0.006,0.345,0.042,0.893,,,,,,,101,33.7%,125,48.0%
01M839,1,Tompkins Square Middle School,false,M064,false,358,0,358,0,0.165,0.142,0.433,0.045,0.215,0.274,0.017,0.642,286,175,61.2%,262,143,54.6%,,,,
02M033,2,P.S. 033 Chelsea Prep,false,M033,false,612,612,0,0,0.242,0.173,0.283,0.088,0.214,0.15,0.074,0.469,286,183,64.0%,285,183,64.2%,,,,
02M040,2,P.S. 040 Augustus Saint-Gaudens,false,M040,false,700,700,0,0,0.14,0.019,0.14,0.101,0.6,0.141,0.026,0.093,270,236,87.4%,274,237,86.5%,,,,
02M047,2,47 The American Sign Language and English Secondary School,false,M047,false,232,0,0,232,0.026,0.25,0.668,0.022,0.034,0.254,0.047,0.819,,,,,,,40,92.5%,35,94.3%
02M051,2,P.S. 051 Elias Howe,false,M338,false,488,488,0,0,0.145,0.143,0.455,0.033,0.223,0.195,0.074,0.557,166,75,45.2%,161,82,50.9%,,,,
02M059,2,P.S. 059 Beekman Hill International,false,M488,false,638,638,0,0,0.218,0.016,0.088,0.096,0.583,0.138,0.063,0.083,251,220,87.6%,263,223,84.8%,,,,
02M077,2,P.S. 77 Lower Lab School,false,M198,false,362,362,0,0,0.384,0.003,0.061,0.133,0.42,0.066,0.006,0.108,185,181,97.8%,185,183,98.9%,,,,
02M089,2,P.S. 89,false,M089,false,454,454,0,0,0.196,0.009,0.11,0.088,0.597,0.145,0.075,0.059,173,147,85.0%,173,151,87.3%,,,,
02M111,2,P.S. 111 Adolph S. Ochs,false,M111,false,438,438,0,0,0.135,0.146,0.5,0.025,0.194,0.244,0.107,0.543,179,92,51.4%,179,85,47.5%,,,,
02M114,2,East Side Middle School,false,M114,false,457,0,457,0,0.16,0.033,0.114,0.081,0.613,0.166,0.002,0.133,437,413,94.5%,294,283,96.3%,,,,
02M131,2,M.S. 131,false,M131,false,304,0,304,0,0.734,0.086,0.151,0.007,0.023,0.237,0.23,0.885,358,176,49.2%,375,239,63.7%,,,,
02M135,2,The Urban Assembly School for Emergency Management,false,M520,false,256,0,0,256,0.047,0.293,0.617,0.016,0.027,0.215,0.043,0.797,,,,,,,62,88.7%,86,87.2%
02M139,2,Stephen T. Mather Building Arts & Craftsmanship High School,false,M625,false,416,0,0,416,0.038,0.25,0.623,0.036,0.053,0.257,0.058,0.81,,,,,,,80,87.5%,73,87.7%
02M158,2,P.S. 158 Bayard Taylor,false,M158,false,804,804,0,0,0.128,0.02,0.082,0.071,0.699,0.149,0.044,0.098,325,273,84.0%,329,269,81.8%,,,s,s
02M177,2,Yorkville East Middle School,false,M158,false,227,0,227,0,0.075,0.062,0.256,0.057,0.551,0.273,0.018,0.242,211,159,75.4%,146,121,82.9%,,,,
02M198,2,P.S. 198 Isador E. Ida Straus,false,M198,false,491,491,0,0,0.189,0.081,0.222,0.049,0.458,0.204,0.059,0.346,190,132,69.5%,194,138,71.1%,,,,
02M212,2,P.S. 212 Midtown West,false,M017,false,370,370,0,0,0.151,0.076,0.232,0.095,0.446,0.114,0.032,0.205,141,110,78.0%,142,107,75.4%,,,,
02M225,2,Ella Baker School,false,M480,false,332,265,67,0,0.078,0.16,0.295,0.099,0.367,0.199,0.012,0.31,87,67,77.0%,87,51,58.6%,,,,
02M255,2,M.S. 255 Salk School of Science,false,M040,false,383,0,383,0,0.185,0.01,0.099,0.084,0.621,0.151,0.003,0.117,386,363,94.0%,381,351,92.1%,,,,
02M276,2,Battery Park City School,false,M276,false,854,569,285,0,0.213,0.032,0.131,0.098,0.526,0.162,0.035,0.157,514,398,77.4%,443,366,82.6%,,,,
02M280,2,Manhattan Early College School for Advertising,false,M520,false,445,0,0,445,0.106,0.346,0.456,0.038,0.054,0.169,0.047,0.742,,,,,,,80,96.3%,,
02M281,2,The River School,false,M281,false,422,422,0,0,0.296,0.078,0.137,0.045,0.443,0.152,0.145,0.227,87,71,81.6%,92,79,85.9%,,,,
