DBN,Cohort Year,pct_Grads
01M292,2013,75
01M292,2012,68.3
01M292,2011,72.1
01M292,2010,55.6
01M292,2009,74.4
01M650,2013,48
01M448,2013,89.7
01M448,2012,78.1
01M448,2011,88.9
01M448,2010,80.3
01M448,2009,81.8
01M450,2013,95.5
01M450,2012,92.1
01M450,2011,90.9
01M450,2010,89.7
01M450,2009,89.3
01M458,2013,44.4
01M458,2012,53.4
01M458,2011,48.1
01M458,2010,31.8
01M458,2009,34.7
01M509,2013,79.6
01M509,2012,79.1
01M509,2011,56.7
01M509,2010,69.1
01M509,2009,57.1
01M515,2013,45.7
01M515,2012,46.9
01M515,2011,48.2
01M515,2010,35.6
01M515,2009,44.7
01M650,2012,64.8
01M539,2013,98.9
01M539,2012,100
01M539,2011,100
01M539,2010,97.3
01M539,2009,97.8
01M650,2011,64.6
01M650,2010,68.2
01M650,2009,77.3
01M696,2013,100
01M696,2012,100
01M696,2011,98.7
01M696,2010,100
01M696,2009,98.4
02M047,2013,94.3
02M047,2012,93.1
02M047,2011,84.6
02M047,2010,92.1
02M047,2009,83.3
02M135,2013,87.2
02M135,2012,s
02M139,2013,87.7
02M139,2012,s
02M288,2013,93
02M288,2012,93.5
02M288,2011,90.2
02M288,2010,87.8
02M288,2009,93.7
02M294,2013,89.3
02M294,2012,88.5
02M294,2011,86.7
02M294,2010,74
02M294,2009,81.3
02M296,2013,82.9
02M296,2012,85.9
02M296,2011,90.3
02M296,2010,78.6
02M296,2009,74.7
02M298,2013,94.4
02M298,2012,97.2
02M298,2011,93.8
02M298,2010,98.9
02M298,2009,93.9
02M300,2013,73.6
02M300,2012,84.4
02M300,2011,74.5
02M300,2010,82.4
02M300,2009,81.1
02M303,2013,79
02M303,2012,71.1
02M303,2011,73.6
02M303,2010,76
02M303,2009,68
02M305,2013,89.1
02M305,2012,85.7
02M305,2011,94.5
02M305,2010,91.5
02M305,2009,89.2
02M308,2013,87.3
02M308,2012,86.8
02M308,2011,79
02M308,2010,82
02M308,2009,84.3
02M313,2013,63.4
02M313,2012,57.5
02M313,2011,58.6
02M313,2010,64.2
02M313,2009,62.3
02M316,2013,81.6
02M316,2012,84.5
02M316,2011,89.6
02M316,2010,82.7
02M316,2009,85.7
02M374,2013,86.5
02M374,2012,87.8
02M374,2011,89.3
02M374,2010,82.3
02M374,2009,83.8
02M376,2013,97.2
02M376,2012,100
02M376,2011,100
02M376,2010,98.9
02M376,2009,96.9
02M392,2013,87.4
02M392,2012,91.5
02M392,2011,88.9
02M392,2010,85.5
02M392,2009,87.5
02M393,2013,91.5
02M393,2012,85.1
02M393,2011,79.5
02M393,2010,82.8
02M393,2009,80.3
02M394,2013,59.4
02M394,2012,79.3
02M394,2011,58.6
02M394,2010,60.5
02M394,2009,67.9
02M399,2013,89.8
02M399,2012,90.5
02M399,2011,78.6
02M399,2010,69.8
02M399,2009,79
02M400,2013,90.3
02M400,2012,89.6
02M400,2011,89
02M400,2010,89.2
02M400,2009,90.1
02M407,2013,93.3
02M407,2012,97.2
02M407,2011,94.3
02M407,2010,94.6
02M407,2009,97.2
02M408,2013,95.8
02M408,2012,99.1
02M408,2011,100
02M408,2010,100
02M408,2009,98.2
02M411,2013,100
02M411,2012,100
02M411,2011,100
02M411,2010,100
02M411,2009,100
02M412,2013,99.3
02M412,2012,99.2
02M412,2011,100
02M412,2010,98.4
02M412,2009,97.6
02M413,2013,99
02M413,2012,95.7
02M413,2011,98.9
02M413,2010,96.6
02M413,2009,95.5
02M414,2013,100
02M414,2012,100
02M414,2011,98.2
02M414,2010,100
02M414,2009,99.2
02M416,2013,99.3
02M416,2012,100
02M416,2011,100
02M416,2010,100
02M416,2009,100
02M418,2013,99.3
02M418,2012,100
02M418,2011,99.3
02M418,2010,99.3
02M418,2009,99.4
02M419,2013,71.6
02M419,2012,68.3
02M419,2011,61.4
02M419,2010,77.7
02M419,2009,56.8
02M420,2013,96.5
02M420,2012,93.3
02M420,2011,94.8
02M420,2010,94.9
02M420,2009,90.1
02M422,2013,89.5
02M422,2012,82.4
02M422,2011,s
02M425,2013,81
02M425,2012,78.3
02M425,2011,73.2
02M425,2010,76.9
02M425,2009,80
02M427,2013,54.7
02M427,2012,67.7
02M427,2011,69.3
02M427,2010,58.9
02M427,2009,s
02M429,2011,70.6
02M429,2010,42.5
02M429,2009,51.8
02M432,2013,86.9
02M432,2012,78.8
02M432,2011,71.1
02M432,2010,76.6
02M432,2009,48.6
02M437,2013,77.4
02M437,2012,88.8
02M437,2011,88.2
02M437,2010,95.8
02M438,2013,75.6
02M438,2012,77.3
02M438,2011,63.2
02M438,2010,64.4
02M438,2009,s
02M439,2013,100
02M439,2012,100
02M439,2011,98.8
02M439,2010,100
02M439,2009,100
02M449,2013,79.4
02M449,2012,80.2
02M449,2011,83.8
02M449,2010,80.2
02M449,2009,79.8
02M459,2013,88.9
02M459,2012,82.7
02M459,2011,90
02M459,2010,87.9
02M459,2009,85.9
02M460,2011,58.9
02M460,2010,51.8
02M460,2009,58.6
02M475,2013,99.3
02M475,2012,99.4
02M475,2011,99.6
02M475,2010,99.4
02M475,2009,99.6
02M489,2013,92.7
02M489,2012,88.3
02M489,2011,83.5
02M489,2010,84.6
02M489,2009,84.5
02M500,2013,78.9
02M500,2012,86.8
02M500,2011,81
02M500,2010,78.2
02M500,2009,69.9
02M507,2013,94.3
02M507,2012,92.4
02M507,2011,92.2
02M507,2010,s
02M519,2013,97.6
02M519,2012,100
02M519,2011,98.8
02M519,2010,96
02M519,2009,100
02M520,2013,63.2
02M520,2012,65.9
02M520,2011,70.6
02M520,2010,72
02M520,2009,66.3
02M529,2013,80.3
02M529,2012,73.7
