DBN,Year,% Level 3+4
01M015,2013,5.6
01M015,2014,3.2
01M015,2015,5.4
01M015,2016,19.6
01M015,2017,35.8
01M015,2018,67.2
01M015,2019,60
01M019,2013,17
01M019,2014,32
01M019,2015,38.2
01M019,2016,53.2
01M019,2017,51.7
01M019,2018,55.4
01M019,2019,56.1
01M020,2013,19.4
01M020,2014,20.1
01M020,2015,25.8
01M020,2016,33.3
01M020,2017,28.8
01M020,2018,39.7
01M020,2019,39.6
01M034,2013,15.8
01M034,2014,19.7
01M034,2015,27.5
01M034,2016,27.5
01M034,2017,27.1
01M034,2018,26.6
01M034,2019,20.7
01M063,2013,14.5
01M063,2014,21.6
01M063,2015,28
01M063,2016,43.8
01M063,2017,61.9
01M063,2018,57.8
01M063,2019,44.3
01M064,2013,11.8
01M064,2014,16.1
01M064,2015,13.7
01M064,2016,20.7
01M064,2017,29.3
01M064,2018,32.6
01M064,2019,49.4
01M110,2013,50.3
01M110,2014,43.7
01M110,2015,44.9
01M110,2016,54.9
01M110,2017,69.7
01M110,2018,74.3
01M110,2019,70.8
01M134,2013,10.9
01M134,2014,13.8
01M134,2015,17.1
01M134,2016,29.5
01M134,2017,19.1
01M134,2018,30.8
01M134,2019,37.9
01M140,2013,7.5
01M140,2014,10.2
01M140,2015,14
01M140,2016,18.2
01M140,2017,24.1
01M140,2018,25.6
01M140,2019,26.4
01M142,2013,14.4
01M142,2014,10.5
01M142,2015,10.4
01M142,2016,18.8
01M142,2017,31.3
01M142,2018,38.4
01M142,2019,42.3
01M184,2013,67.2
01M184,2014,70.3
01M184,2015,68.2
01M184,2016,66
01M184,2017,64.8
01M184,2018,72.4
01M184,2019,75.3
01M188,2013,6.4
01M188,2014,9.3
01M188,2015,10
01M188,2016,15.5
01M188,2017,15
01M188,2018,38.6
01M188,2019,24.9
01M315,2013,37.2
01M315,2014,51.3
01M315,2015,50
01M315,2016,54.1
01M315,2017,55.2
01M315,2018,65.4
01M315,2019,61.6
01M332,2013,8.4
01M332,2014,18.7
01M332,2015,18.9
01M332,2016,25.3
01M332,2017,22.9
01M332,2018,25.9
01M332,2019,31.4
01M361,2013,30.7
01M361,2014,40.4
01M361,2015,46.1
01M361,2016,61.8
01M361,2017,61.2
01M361,2018,67.4
01M361,2019,57.9
01M363,2013,24.5
01M363,2014,30.3
01M363,2015,26.8
01M363,2016,30.3
01M363,2017,42.9
01M363,2018,46.9
01M363,2019,37
01M364,2013,31.6
01M364,2014,54.3
01M364,2015,54.8
01M364,2016,58.1
01M364,2017,51.3
01M364,2018,37.8
01M364,2019,21.9
01M378,2013,12.4
01M378,2014,12.8
01M378,2015,17.7
01M378,2016,23.5
01M378,2017,24.3
01M378,2018,27.7
01M378,2019,32.3
01M450,2013,28.1
01M450,2014,36.3
01M450,2015,41.6
01M450,2016,46.7
01M450,2017,48.9
01M450,2018,52.2
01M450,2019,62.9
01M539,2013,94.6
01M539,2014,94.9
01M539,2015,93.6
01M539,2016,93.6
01M539,2017,97.2
