DBN,School Name,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2019-20,190,0,14,29,28,38,33,29,19,0,0,0,0,0,0,0,94,0.495,96,0.505,27,0.142,56,0.295,96,0.505,0,0,2,0.011,9,0.047,0,0,46,0.242,17,0.089,155,0.816,0.867
01M019,P.S. 019 Asher Levy,2019-20,236,0,16,25,27,39,45,42,42,0,0,0,0,0,0,0,110,0.466,126,0.534,11,0.047,49,0.208,148,0.627,8,0.034,1,0.004,19,0.081,0,0,94,0.398,8,0.034,176,0.746,0.704
01M020,P.S. 020 Anna Silver,2019-20,464,0,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,0.502,231,0.498,120,0.259,58,0.125,239,0.515,10,0.022,5,0.011,31,0.067,1,0.002,106,0.228,61,0.131,354,0.763,0.784
01M034,P.S. 034 Franklin D. Roosevelt,2019-20,296,0,17,24,26,16,18,21,43,43,40,48,0,0,0,0,141,0.476,155,0.524,7,0.024,107,0.361,172,0.581,0,0,2,0.007,8,0.027,0,0,117,0.395,17,0.057,Above 95%,0.95,0.95
01M063,The STAR Academy - P.S.63,2019-20,229,0,26,40,34,38,30,32,29,0,0,0,0,0,0,0,104,0.454,125,0.546,9,0.039,39,0.17,157,0.686,6,0.026,1,0.004,17,0.074,0,0,71,0.31,5,0.022,177,0.773,0.784
01M064,P.S. 064 Robert Simon,2019-20,236,0,34,23,44,30,41,31,33,0,0,0,0,0,0,0,107,0.453,129,0.547,7,0.03,40,0.169,174,0.737,2,0.008,3,0.013,10,0.042,0,0,67,0.284,4,0.017,215,0.911,0.916
01M110,P.S. 110 Florence Nightingale,2019-20,396,0,35,68,63,74,52,54,50,0,0,0,0,0,0,0,173,0.437,223,0.563,64,0.162,38,0.096,180,0.455,11,0.028,2,0.005,101,0.255,0,0,48,0.121,10,0.025,241,0.609,0.627
01M134,P.S. 134 Henrietta Szold,2019-20,245,0,10,28,43,34,35,45,50,0,0,0,0,0,0,0,116,0.473,129,0.527,23,0.094,65,0.265,146,0.596,3,0.012,2,0.008,6,0.024,0,0,105,0.429,18,0.073,Above 95%,0.95,0.946
01M140,P.S. 140 Nathan Straus,2019-20,372,0,8,26,27,31,27,30,30,67,61,65,0,0,0,0,175,0.47,197,0.53,11,0.03,60,0.161,293,0.788,0,0,1,0.003,7,0.019,0,0,147,0.395,27,0.073,333,0.895,0.933
01M142,P.S. 142 Amalia Castro,2019-20,329,3,48,56,43,48,44,45,42,0,0,0,0,0,0,0,147,0.447,182,0.553,4,0.012,54,0.164,253,0.769,2,0.006,6,0.018,8,0.024,2,0.006,110,0.334,22,0.067,Above 95%,0.95,0.902
