,dbn,district,school_name,building_id,transfer_school,total_enrollment,grades_3k-pk-5_enrollment,grades_6-8_enrollment,grades_9-12_enrollment,%_asian,%_black,%_hispanic,%_multiple_race_categories_not_represented,%_white,%_swd,%_ell,%_poverty,2018-19_ela_#_tested,2018-19_ela_#_proficient_(l3&4),2018-19_ela_%_proficient_(l3&4),2018-19_math_#_tested,2018-19_math_#_proficient_(l3&4),2018-19_math_%_proficient_(l3&4),2018-19_total_4-year_august_grad_cohort,2018-19_%_4-year_august_graduates,2018-19_total_6-year_grad_cohort,2018-19_%_6-year_graduates,is_split,location_code,location_name,geographical_district_code,managed_by_name,location_category_description,grades_text,longitude,latitude,principal_name,open_date,borough_code,counts,opend_year
0,01M015,1,P.S. 015 Roberto Clemente,M015,False,190,190,0,0,0.142,0.295,0.505,0.011,0.047,0.232,0.089,0.816,70,42,60.0%,70,46,65.7%,,,,,False,M015,P.S. 015 Roberto Clemente,1.0,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",-73.978747,40.722075,IRENE SANCHEZ,1904-07-01,M,2,1904.0
1,01M063,1,The STAR Academy - P.S.63,M063,False,229,229,0,0,0.039,0.17,0.686,0.031,0.074,0.301,0.022,0.773,79,35,44.3%,78,25,32.1%,,,,,False,M063,The STAR Academy - P.S.63,1.0,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",-73.986214,40.72444,DARLENE CAMERON,1905-07-01,M,2,1905.0
2,01M064,1,P.S. 064 Robert Simon,M064,False,236,236,0,0,0.03,0.169,0.737,0.021,0.042,0.267,0.017,0.907,81,40,49.4%,81,35,43.2%,,,,,False,M064,P.S. 064 Robert Simon,1.0,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",-73.981597,40.72313,Marlon L. Hosang,1954-07-01,M,3,1954.0
3,01M142,1,P.S. 142 Amalia Castro,M142,False,329,329,0,0,0.012,0.164,0.769,0.03,0.024,0.331,0.067,0.964,104,44,42.3%,98,37,37.8%,,,,,False,M142,P.S. 142 Amalia Castro,1.0,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",-73.984116,40.718121,DAPHNA GUTMAN,1976-07-01,M,2,1976.0
4,01M188,1,P.S. 188 The Island School,M188,False,398,238,160,0,0.028,0.314,0.628,0.008,0.023,0.339,0.098,0.955,269,67,24.9%,219,69,31.5%,,,,,False,M188,P.S. 188 The Island School,1.0,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.97738,40.719888,Suany Ramos,1904-07-01,M,1,1904.0
5,01M292,1,Orchard Collegiate Academy,M056,False,226,0,0,226,0.119,0.257,0.562,0.035,0.027,0.288,0.093,0.832,,,,,,,28,89.3%,36,75.0%,False,M292,Orchard Collegiate Academy,1.0,DOE,High school,"09,10,11,12,SE",-73.986051,40.713362,MILES DOYLE,2004-09-08,M,3,2004.0
6,01M315,1,The East Village Community School,M061,False,330,330,0,0,0.097,0.045,0.23,0.058,0.57,0.173,0.009,0.282,112,69,61.6%,111,74,66.7%,,,,,False,M315,The East Village Community School,1.0,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",-73.978254,40.727537,Bradley Goodman,1999-07-01,M,2,1999.0
7,01M332,1,University Neighborhood Middle School,M056,False,218,0,218,0,0.073,0.197,0.628,0.009,0.092,0.413,0.05,0.83,175,55,31.4%,173,22,12.7%,,,,,False,M332,University Neighborhood Middle School,1.0,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",-73.986051,40.713362,LAURA PEYNADO CASTRO,2004-09-13,M,3,2004.0
8,01M361,1,The Children's Workshop School,M061,False,336,336,0,0,0.098,0.104,0.387,0.065,0.345,0.247,0.039,0.47,95,55,57.9%,95,46,48.4%,,,,,False,M361,The Children's Workshop School,1.0,DOE,Elementary,"PK,0K,01,02,03,04,05,06,SE",-73.978254,40.727537,MARIA VELEZ CLARKE,1999-07-01,M,2,1999.0
9,01M363,1,Neighborhood School,M063,False,306,306,0,0,0.069,0.101,0.346,0.085,0.399,0.219,0.013,0.408,27,10,37.0%,27,9,33.3%,,,,,False,M363,Neighborhood School,1.0,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",-73.986214,40.72444,Dyanthe Spielberg,1999-07-01,M,2,1999.0
