,dbn,ela_pct_ch,math_pct_ch,is_co_located,borough_code,economic_need_index_y,total_enrollment,disability,ell,poverty
0,01M015,10.71428571,15.64285714,TRUE,M,0.867,0,-0.992923977,-0.11,-0.093333333
1,01M019,3.3,1.353276353,FALSE,M,0.704,-0.171929825,-0.98724359,-0.613636364,-0.001338688
2,01M020,2.041237113,1.466192171,FALSE,M,0.784,-0.264659271,-0.99,-0.206060606,0.074647887
3,01M034,1.310126582,0.424657534,FALSE,M,0.95,-0.246819338,-0.987957317,-0.109375,0.001053741
4,01M063,3.055172414,1.99378882,TRUE,M,0.784,0.279329609,-0.990606061,-0.511111111,-0.045679012
5,01M064,4.186440678,4.408163265,TRUE,M,0.916,-0.177700348,-0.991768116,-0.742424242,0.009977827
6,01M110,1.407554672,1.30153322,FALSE,M,0.627,-0.048076923,-0.992797619,-0.479166667,0.146892655
7,01M134,3.47706422,1.1875,FALSE,M,0.946,-0.229559748,-0.984678571,-0.506756757,0.027027027
8,01M140,3.52,2.613333333,FALSE,M,0.933,-0.053435115,-0.988681948,-0.478571429,0.120150188
9,01M142,2.9375,1.8,TRUE,M,0.902,-0.143229167,-0.989225806,-0.192771084,-0.027635619
10,01M184,1.120535714,1.040150565,FALSE,M,0.671,0.058383234,-0.985526316,0.029411765,-0.066197183
11,01M188,3.890625,3.028846154,TRUE,M,0.95,-0.205588822,-0.987935943,-0.355263158,0.089449541
12,01M315,1.655913978,1.603365385,TRUE,M,0.382,0.195652174,-0.993741259,0.285714286,-0.068322981
13,01M332,3.738095238,1.628205128,TRUE,M,0.817,1.18,-0.985107143,-0.791666667,-0.117021277
14,01M361,1.885993485,1.576547231,TRUE,M,0.536,0.302325581,-0.990117188,-0.093023256,-0.016632017
15,01M363,1.510204082,1.106312292,TRUE,M,0.462,0.02,-0.992178571,-0.606060606,-0.064876957
16,01M364,0.693037975,0.571884984,TRUE,M,0.572,0.081761006,-0.984769231,-0.078947368,0.380722892
17,01M378,2.60483871,1.661904762,TRUE,M,0.854,-0.163934426,-0.985412186,-0.48125,0.196353436
18,01M450,2.238434164,1.858934169,TRUE,M,0.653,0.047765794,-0.990724138,-0.166666667,-0.124165554
19,01M539,1.031712474,1.053304904,FALSE,M,0.291,0.046956522,-0.975128205,3.333333333,-0.136690647
20,01M839,1.672131148,1.479674797,TRUE,M,0.642,-0.050397878,-0.989664179,-0.645833333,-0.063583815
