,dbn,4yr_pct_ch,6yr_pct_ch,is_co_located,borough_code,economic_need_index_y,total_enrollment,disability,ell,poverty
0,01M292,0.645016797,0.992,TRUE,M,0.878,-0.300309598,-0.991299094,-0.53030303,0.007151371
1,01M448,0.834930777,0.911928651,FALSE,M,0.85,0.64548495,-0.993601533,-0.501779359,-0.037362637
2,01M450,0.837209302,0.935078534,TRUE,M,0.653,0.047765794,-0.990724138,-0.166666667,-0.124165554
3,01M458,0.37944664,0.781531532,TRUE,M,0.895,-0.191964286,-0.974475524,0.6,0.085820896
4,01M509,0.415898618,0.717336683,TRUE,M,,,,,
5,01M515,0.728070175,0.978118162,TRUE,M,0.95,-0.036297641,-0.956666667,-0.051212938,0.794392523
6,01M539,0.978,0.988877654,FALSE,M,0.291,0.046956522,-0.975128205,3.333333333,-0.136690647
7,01M650,1.255192878,1.610416667,TRUE,M,0.9,-0.243243243,-0.959883721,1.333333333,0.141235813
8,01M696,0.988855117,0.984,FALSE,M,0.425,0.094642857,-0.848571429,-1,0.46366782
9,02M047,0.762162162,0.883351007,TRUE,M,0.818,0.260869565,-0.992211838,-0.338028169,-0.016627078
10,02M288,0.984777518,1.007526882,TRUE,M,0.795,-0.144469526,-0.986625,0.275862069,0.041162228
11,02M294,0.747428571,0.910414334,TRUE,M,0.68,-0.031518625,-0.988922414,-0.108108108,-0.092643052
12,02M296,0.856770833,0.901085645,TRUE,M,0.88,-0.218097448,-0.986276596,0.412698413,-0.02062975
13,02M298,1.052132701,0.99470339,TRUE,M,0.779,0.304038005,-0.98483871,1.583333333,-0.014814815
14,02M300,0.757575758,1.101902174,TRUE,M,0.873,-0.384074941,-0.984947917,-0.191489362,0.04494382
15,02M303,0.751207729,0.860759494,TRUE,M,0.873,-0.160671463,-0.989319149,-0.541284404,0.136239782
16,02M305,0.932356257,1.001122334,TRUE,M,0.876,-0.012269939,-0.987428571,-0.260869565,0.054347826
17,02M308,0.974126779,0.965635739,TRUE,M,0.864,-0.132596685,-0.987427536,0.212765957,0.308441558
18,02M313,0.840749415,0.982649842,TRUE,M,0.856,-0.1,-0.975,0.25862069,0.093535076
19,02M316,0.967362924,1.050245098,TRUE,M,0.879,-0.567961165,-0.992736318,1.195121951,0.046594982
21,02M374,0.855726872,0.968786127,TRUE,M,0.813,-0.180656934,-0.988193548,-0.419354839,0.164574616
22,02M376,0.939,0.99691358,TRUE,M,0.394,0.073903002,-0.985755396,1.2,-0.12173913
23,02M392,0.958333333,1.001144165,TRUE,M,0.859,-0.046948357,-0.98816568,-0.114285714,0.057901086
24,02M393,0.824884793,0.877595628,TRUE,M,0.819,0.019047619,-0.988539823,0.133333333,0.164110429
25,02M394,1.222958057,1.143097643,TRUE,M,0.95,0.389140271,,-0.031890661,-0.040456432
26,02M399,0.800720288,0.879732739,TRUE,M,0.873,-0.234636872,-0.98978022,-0.333333333,-0.052631579
27,02M400,1.053030303,0.997785161,TRUE,M,0.787,-0.136432927,-0.9888125,-0.053333333,0.034974093
29,02M407,0.986387435,1.041800643,TRUE,M,0.368,0.044871795,-0.97030303,-1,0.368200837
30,02M408,0.983673469,1.025052192,TRUE,M,0.376,0.126953125,-0.976666667,0.5,-0.068047337
31,02M411,0.991,1,FALSE,M,0.384,0.109339408,-0.974035088,inf,-0.422087746
32,02M412,0.971252567,0.982880161,TRUE,M,0.278,-0.141903172,-0.987467532,-0.428571429,-0.283378747
33,02M413,0.886792453,0.964646465,FALSE,M,0.443,0.002797203,-0.985135135,0.833333333,0.105128205
34,02M414,1.005107252,0.992,TRUE,M,0.505,-0.017316017,-0.967391304,-0.818181818,-0.308609272
35,02M416,1,1.007049345,FALSE,M,0.19,0.018832392,-0.9509375,-1,-0.257936508
36,02M418,0.994,1.001007049,FALSE,M,0.506,0.088852989,-0.985111111,-0.5,0.180974478
37,02M419,0.653594771,0.793296089,TRUE,M,0.871,-0.154040404,-0.990652174,-0.622641509,-0.029246344
38,02M420,0.910147992,0.933678756,TRUE,M,0.766,0.067995311,-0.989922481,-0.173076923,0.197204969
39,02M425,0.775648253,0.987654321,FALSE,M,0.853,-0.472992701,-0.98828877,-0.390625,0.08248731
40,02M432,0.393586006,0.559263521,TRUE,M,0.852,-0.137704918,-0.990220588,-0.693548387,0.087980173
41,02M439,0.973763875,1,FALSE,M,0.669,0.111111111,-0.985050505,-0.564102564,-0.01061008
42,02M449,0.959635417,1.005037783,TRUE,M,0.779,-0.095948827,-0.988604651,-0.6,-0.010362694
43,02M459,0.90224359,0.966254218,TRUE,M,0.95,-0.090634441,-0.991481481,-0.076326003,0.1376
44,02M475,0.994944388,1.003021148,TRUE,M,0.413,0.027035237,-0.994285714,-1,-0.038135593
45,02M489,0.829078801,0.911542611,FALSE,M,0.782,-0.037809648,-0.988066667,-0.4375,-0.031446541
46,02M500,0.75928009,0.885931559,TRUE,M,0.872,0.047058824,-0.992319392,-0.230769231,0.004395604
47,02M519,1.009473684,1.024590164,TRUE,M,0.558,0.003773585,-0.976935484,inf,-0.035353535
48,02M520,0.690026954,1.049050633,TRUE,M,0.802,-0.922237381,-0.993518519,-0.773913043,0.144230769
49,02M529,1.025,0.9626401,FALSE,M,0.815,-0.574047955,-0.987837838,-0.34375,-0.003745318
50,02M531,0.956,1.015576324,FALSE,M,0.505,0.004237288,-0.980561798,-1,-0.107652399
51,02M542,0.858342078,0.959271168,TRUE,M,0.928,-0.057971014,-0.9784,-0.427444795,0.10880829
52,02M543,1.094072165,0.965005302,TRUE,M,0.858,0.034168565,-0.988373984,-0.024390244,0.044678055
53,02M544,0.784037559,0.551724138,TRUE,M,0.91,0.042682927,-0.974867257,0.654545455,0.069007264
55,02M545,0.977,1,TRUE,M,0.824,-0.034146341,-0.9875,-0.593314763,-0.04767184
56,02M550,1.064665127,1.313539192,FALSE,M,0.95,0.262536873,-0.992682927,-0.074152542,0.580896686
57,02M551,0.842857143,0.961325967,FALSE,M,0.558,0.191343964,-0.986428571,-0.756097561,-0.144329897
59,02M560,1.067024129,0.933656958,TRUE,M,0.746,0.001650165,-0.978110236,0.433333333,0.106012658
61,02M565,0.618487395,0.728316327,TRUE,M,0.629,-0.13836478,-0.9592,-0.631578947,0.247484909
62,02M570,3.168224299,1.720194647,FALSE,M,0.872,-0.003921569,-0.979051095,1.685714286,-0.048752834
63,02M575,0.955719557,1.064896755,FALSE,M,0.929,-0.083333333,-0.978,-0.051282051,-0.022075055
64,02M580,0.858682635,0.894132653,TRUE,M,0.776,-0.406408094,-0.992068966,-0.232142857,-0.052071006
66,02M586,0.463215259,1.2725,TRUE,M,0.821,-0.186666667,-0.975442177,1.538461538,-0.077373974
67,02M600,1.031638418,0.98026999,FALSE,M,0.786,-0.08256351,-0.985416667,0.28,0.014510278
68,02M605,0.828541001,0.968181818,TRUE,M,0.813,0.242857143,-0.981714286,0.448275862,0.135802469
69,02M615,0.943127962,0.990464839,TRUE,M,0.828,0.013544018,-0.9878125,0.139534884,0.039167687
70,02M630,0.925884956,1.032547699,TRUE,M,0.576,0.018776078,-0.985430464,-0.384615385,-0.179970972
71,02M655,0.813602015,0.873762376,TRUE,M,0.881,-0.488975357,-0.988695652,0.151162791,0.079323797
72,03M299,0.97542044,1.081300813,TRUE,M,0.894,-0.344827586,-0.988229665,0.052631579,0.045292014
73,03M307,0.734223301,0.847102343,TRUE,M,0.86,0.056847545,-0.991862745,-0.789473684,0.108556833
74,03M402,0.516212711,0.650531287,TRUE,M,0.859,-0.227848101,-0.99,-0.451162791,-0.090611354
75,03M403,0.684010152,0.75990099,TRUE,M,0.878,-0.127083333,-0.989955157,-0.286666667,-0.07431694
76,03M404,1.057692308,0.875,TRUE,M,0.895,-0.088541667,-0.984148936,2.129032258,0.119592875
77,03M415,0.504587156,0.741040462,TRUE,M,0.894,-0.410546139,-0.989371981,-0.25,0.186369958
78,03M479,1.00101626,0.992,TRUE,M,0.33,0.151253918,-0.975,inf,-0.01384083
80,03M485,0.989919355,1.00708502,FALSE,M,0.33,0.079120879,-0.982857143,1,-0.056074766
81,03M492,0.972404731,1.011138614,TRUE,M,0.86,-0.237288136,-0.990877193,-0.373493976,0.025813692
82,03M494,0.91884058,0.870616687,TRUE,M,0.867,-0.219387755,-0.988235294,-0.403225806,-0.110871905
83,03M505,1.071856287,1.294429708,FALSE,M,0.906,-0.270114943,-0.978426396,0.916666667,0.001149425
84,03M541,0.915151515,0.957,TRUE,M,0.561,-0.010869565,-0.977301587,1,-0.081203008
85,03M860,0.845347313,0.875,TRUE,M,0.894,-0.251748252,-0.98996063,0.08988764,0.074213836
86,04M435,0.930785124,0.964285714,TRUE,M,0.766,0.037153652,-0.975614035,0.45,-0.027644231
87,04M495,0.807892004,0.835519677,FALSE,M,0.79,-0.070904645,-0.98556338,-0.135135135,-0.088764045
88,04M555,0.931,1.004110997,TRUE,M,0.753,0.068893528,-0.989166667,-0.419354839,-0.111973392
89,04M610,1.014198783,1,FALSE,M,0.815,0.021551724,-0.986142857,-0.433333333,-0.018518519
90,04M680,0.672586016,0.903797468,FALSE,M,0.883,-0.113960114,-0.992666667,0.283333333,0.023463687
91,05M285,1.784722222,1.018561485,TRUE,M,0.897,-0.081896552,-0.98220339,-0.048309179,0.084065245
92,05M304,1.052067381,1.07891492,TRUE,M,0.93,-0.437647059,-0.985902439,0.956521739,0.034675615
93,05M369,0.899070385,1.059662776,TRUE,M,0.882,0.073446328,-0.986685393,-0.073529412,-0.044520548
94,05M499,0.962378641,0.957974138,FALSE,M,0.84,-0.280053727,-0.983303571,1.115384615,0.130551817
95,05M670,1.148148148,1.051396648,FALSE,M,0.835,-0.054195804,-0.982758621,1.294117647,0.028608583
