DBN,Year,percent_level3_4
01M015,2013,4.2
01M015,2014,9.5
01M015,2015,12.1
01M015,2016,21.2
01M015,2017,44.9
01M015,2018,58.2
01M015,2019,65.7
01M019,2013,35.1
01M019,2014,42.3
01M019,2015,53.3
01M019,2016,51.6
01M019,2017,51.2
01M019,2018,58.4
01M019,2019,47.5
01M020,2013,28.1
01M020,2014,34.3
01M020,2015,35
01M020,2016,35
01M020,2017,31.7
01M020,2018,35.4
01M020,2019,41.2
01M034,2013,29.2
01M034,2014,27.7
01M034,2015,23.6
01M034,2016,20.5
01M034,2017,17.9
01M034,2018,15.8
01M034,2019,12.4
01M063,2013,16.1
01M063,2014,32.1
01M063,2015,32
01M063,2016,45.8
01M063,2017,43.1
01M063,2018,57.8
01M063,2019,32.1
01M064,2013,9.8
01M064,2014,22.1
01M064,2015,26.1
01M064,2016,31.3
01M064,2017,32.7
01M064,2018,32.6
01M064,2019,43.2
01M110,2013,58.7
01M110,2014,60.5
01M110,2015,62.9
01M110,2016,62.1
01M110,2017,78.4
01M110,2018,77.4
01M110,2019,76.4
01M134,2013,27.2
01M134,2014,33.3
01M134,2015,39
01M134,2016,41.6
01M134,2017,24.8
01M134,2018,33.8
01M134,2019,32.3
01M140,2013,7.5
01M140,2014,16
01M140,2015,14.4
01M140,2016,16
01M140,2017,12.3
01M140,2018,17.6
01M140,2019,19.6
01M142,2013,21
01M142,2014,21.3
01M142,2015,20.6
01M142,2016,19.3
01M142,2017,27.6
01M142,2018,31.3
01M142,2019,37.8
01M184,2013,79.7
01M184,2014,83.7
01M184,2015,86.3
01M184,2016,80.6
01M184,2017,78.5
01M184,2018,81
01M184,2019,82.9
01M188,2013,10.4
01M188,2014,15.1
01M188,2015,18.6
01M188,2016,22.3
01M188,2017,20.9
01M188,2018,30.2
01M188,2019,31.5
01M315,2013,41.6
01M315,2014,68
01M315,2015,65.4
01M315,2016,66.7
01M315,2017,59.4
01M315,2018,67.3
01M315,2019,66.7
01M332,2013,7.8
01M332,2014,15.8
01M332,2015,13.4
01M332,2016,7.4
